"If you want to have both AddThis and original social buttons choose ""Yes"".","If you want to have both AddThis and original social buttons choose ""Yes""."
"Facebook Button Settings","Facebook Button Settings"
"Facebook Button Enabled","Facebook Button Enabled"
"Enables or disables Facebook button.","Enables or disables Facebook button."
"Action (data-action)","Action (data-action)"
"The verb to display on the button. Can be either ""like"" or ""recommend"". Default is ""like"".","The verb to display on the button. Can be either ""like"" or ""recommend"". Default is ""like""."
"Color Scheme (data-colorscheme)","Color Scheme (data-colorscheme)"
"The color scheme used by the plugin. Can be ""light"" or ""dark"". Default is ""light"".","The color scheme used by the plugin. Can be ""light"" or ""dark"". Default is ""light""."
"Kid Directed Site (data-kid-directed-site)","Kid Directed Site (data-kid-directed-site)"
"If your web site or online service, or a portion of your service, is directed to children under 13 <a href=""https://developers.facebook.com/docs/plugins/like-button/#faqlayouts"" target=""_blank"">you must enable this</a>. Default is ""false"".","If your web site or online service, or a portion of your service, is directed to children under 13 <a href=""https://developers.facebook.com/docs/plugins/like-button/#faqlayouts"" target=""_blank"">you must enable this</a>. Default is ""false""."
"Layout (data-layout)","Layout (data-layout)"
"Selects one of the different layouts that are available for the plugin. Can be one of ""standard"", ""button_count"", ""button"", or ""box_count"". See the <a href=""https://developers.facebook.com/docs/plugins/like-button/#faqlayouts"" target=""_blank"">FAQ</a> for more details. Default is ""standard"".","Selects one of the different layouts that are available for the plugin. Can be one of ""standard"", ""button_count"", ""button"", or ""box_count"". See the <a href=""https://developers.facebook.com/docs/plugins/like-button/#faqlayouts"" target=""_blank"">FAQ</a> for more details. Default is ""standard""."
"Share Button (data-share)","Share Button (data-share)"
"Specifies whether to include a share button beside the Like button. Default is ""true"".","Specifies whether to include a share button beside the Like button. Default is ""true""."
"Show Faces (data-show-faces)","Show Faces (data-show-faces)"
"Specifies whether to display profile photos below the button (standard layout only). You must not enable this on <a href=""https://developers.facebook.com/docs/plugins/restrictions/"" target=""_blank"">child-directed sites</a>. Default is ""false"".","Specifies whether to display profile photos below the button (standard layout only). You must not enable this on <a href=""https://developers.facebook.com/docs/plugins/restrictions/"" target=""_blank"">child-directed sites</a>. Default is ""false""."
"Width (data-width)","Width (data-width)"
"The width of the plugin. The layout you choose affects the minimum and default widths you can use, please see the <a href=""https://developers.facebook.com/docs/plugins/like-button/#faqlayout"" target=""_blank"">FAQ</a> for more details.","The width of the plugin. The layout you choose affects the minimum and default widths you can use, please see the <a href=""https://developers.facebook.com/docs/plugins/like-button/#faqlayout"" target=""_blank"">FAQ</a> for more details."
"Google Button Settings","Google Button Settings"
"Google Button Enabled","Google Button Enabled"
"Enables or disables Google icon.","Enables or disables Google icon."
"Size (data-size)","Size (data-size)"
"Sets the +1 button size to render. See <a href=""https://developers.google.com/+/web/+1button/#button-sizes"" target=""_blank"">button sizes</a> for more information. Default is ""standard"".","Sets the +1 button size to render. See <a href=""https://developers.google.com/+/web/+1button/#button-sizes"" target=""_blank"">button sizes</a> for more information. Default is ""standard""."
"Size (data-annotation)","Size (data-annotation)"
"Sets the annotation to display next to the button. Default is ""bubble"".","Sets the annotation to display next to the button. Default is ""bubble""."
"If data-annotation is set to ""inline"", this parameter sets the width in pixels to use for the button and its inline annotation. If the width is omitted, a button and its inline annotation use 450px. See <a href=""https://developers.google.com/+/web/+1button/#inline-annotation"" target=""_blank"">Inline annotation widths</a> for examples of how the annotation is displayed for various width settings.","If data-annotation is set to ""inline"", this parameter sets the width in pixels to use for the button and its inline annotation. If the width is omitted, a button and its inline annotation use 450px. See <a href=""https://developers.google.com/+/web/+1button/#inline-annotation"" target=""_blank"">Inline annotation widths</a> for examples of how the annotation is displayed for various width settings."
"Align (data-align)","Align (data-align)"
"Sets the horizontal alignment of the button assets within its frame. Default is ""left"".","Sets the horizontal alignment of the button assets within its frame. Default is ""left""."
"Recommendations (data-recommendations)","Recommendations (data-recommendations)"
"To disable showing recommendations within the +1 hover bubble, set data-recommendations to false. Default is ""true"".","To disable showing recommendations within the +1 hover bubble, set data-recommendations to false. Default is ""true""."
"Linkedin Button Settings","Linkedin Button Settings"
"Linkedin Button Enabled","Linkedin Button Enabled"
"Enables or disables Linkedin icon.","Enables or disables Linkedin icon."
"Counter (data-counter)","Counter (data-counter)"
"Whether or not to show the the share count and where it gets displayed. Defaults to not showing if this attribute is not present. Valid options are ""right"" and ""top"".","Whether or not to show the the share count and where it gets displayed. Defaults to not showing if this attribute is not present. Valid options are ""right"" and ""top""."
"Show Zero (data-showzero)","Show Zero (data-showzero)"
"Whether to show a zero or a placeholder in the counter if there are no shares. Shows a 0 digit if counter=""right"". Shows a LinkedIn Icon if counter=""top"".","Whether to show a zero or a placeholder in the counter if there are no shares. Shows a 0 digit if counter=""right"". Shows a LinkedIn Icon if counter=""top""."
"Pinterest Button Settings","Pinterest Button Settings"
"Pinterest Button Enabled","Pinterest Button Enabled"
"Enables or disables Pinterest icon.","Enables or disables Pinterest icon."
"Pinterest Hover Button","Pinterest Hover Button"
"Pinterest hover button. Valid options are ""do not show"", ""only on product pages"", and ""global"". Default is ""only on product pages"".","Pinterest hover button. Valid options are ""do not show"", ""only on product pages"", and ""global"". Default is ""only on product pages""."
"Pin Size","Pin Size"
"Size of the pin button. Valid options are ""small"" and ""large"". Default is ""small"".","Size of the pin button. Valid options are ""small"" and ""large"". Default is ""small""."
"Pin Shape (data-pin-shape)","Pin Shape (data-pin-shape)"
"Shape of the pin button. Valid options are ""circular"" and ""rectangular"". Default is ""rectangular"".","Shape of the pin button. Valid options are ""circular"" and ""rectangular"". Default is ""rectangular""."
"Pin Color (data-pin-color)","Pin Color (data-pin-color)"
"Color of the pin button. Valid options are ""gray"", ""red"", and ""white"". Default is ""gray"".","Color of the pin button. Valid options are ""gray"", ""red"", and ""white"". Default is ""gray""."
"Pin Count (data-pin-config)","Pin Count (data-pin-config)"
"Whether or not to show the pin count and where it gets displayed. Valid options are ""above"", ""beside"", and ""none"".","Whether or not to show the pin count and where it gets displayed. Valid options are ""above"", ""beside"", and ""none""."
"Twitter Button Settings","Twitter Button Settings"
"Twitter Button Enabled","Twitter Button Enabled"
"Enables or disables Twitter icon.","Enables or disables Twitter icon."
"Counter (data-count)","Counter (data-count)"
"Whether or not to show the the share count and where it gets displayed. Default is ""horizontal"".","Whether or not to show the the share count and where it gets displayed. Default is ""horizontal""."
"Size of the button, can be ""medium"" or ""large"". Default is ""medium"".","Size of the button, can be ""medium"" or ""large"". Default is ""medium""."
"Social Buttons (Category Pages)","Social Buttons (Category Pages)"
"Enables or disables Category page buttons.","Enables or disables Category page buttons."
"Parent block where category social buttons will reside. There are several options to choose from.","Parent block where category social buttons will reside. There are several options to choose from."
"Selects one of the different layouts that are available for the plugin. Can be one of ""standard"", ""button_count"", ""button"", or ""box_count"". See the <a href=""https://developers.facebook.com/docs/plugins/like-button/#faqlayouts"" target=""_blank"">FAQ</a> for more details. Default is ""box_count"".","Selects one of the different layouts that are available for the plugin. Can be one of ""standard"", ""button_count"", ""button"", or ""box_count"". See the <a href=""https://developers.facebook.com/docs/plugins/like-button/#faqlayouts"" target=""_blank"">FAQ</a> for more details. Default is ""box_count""."
"Specifies whether to include a share button beside the Like button. Default is ""false"".","Specifies whether to include a share button beside the Like button. Default is ""false""."
"Sets the +1 button size to render. See <a href=""https://developers.google.com/+/web/+1button/#button-sizes"" target=""_blank"">button sizes</a> for more information. Default is ""tall"".","Sets the +1 button size to render. See <a href=""https://developers.google.com/+/web/+1button/#button-sizes"" target=""_blank"">button sizes</a> for more information. Default is ""tall""."
"Category Image for Pinterest Button","Category Image for Pinterest Button"
"Image for category pages Pinterest button.","Image for category pages Pinterest button."
"Whether or not to show the the share count and where it gets displayed. Default is ""vertical"".","Whether or not to show the the share count and where it gets displayed. Default is ""vertical""."
"Social Buttons (CMS Pages)","Social Buttons (CMS Pages)"
"Enables or disables CMS page buttons.","Enables or disables CMS page buttons."
"Parent block where CMS page social buttons will reside. There are several options to choose from.","Parent block where CMS page social buttons will reside. There are several options to choose from."
"Social Icons (Primary)","Social Icons (Primary)"
"Enables or disables primary icons.","Enables or disables primary icons."
"The way icons are presented. Can be either ""horizontal"" or ""vertical"". Default is ""horizontal"".","The way icons are presented. Can be either ""horizontal"" or ""vertical"". Default is ""horizontal""."
"Parent block where primary icons will reside. There are several options to choose from. Default is ""Header (top.container)"".","Parent block where primary icons will reside. There are several options to choose from. Default is ""Header (top.container)""."
"Position inside parent block. Can be either ""Bottom (after)"" or ""Top (before)"". Default is ""Bottom (after)"".","Position inside parent block. Can be either ""Bottom (after)"" or ""Top (before)"". Default is ""Bottom (after)""."
"Icon Height","Icon Height"
"Fill this field and ""height"" HTML attribute will be added to the image tag. If you want to use CSS leave this field empty.","Fill this field and ""height"" HTML attribute will be added to the image tag. If you want to use CSS leave this field empty."
"Icon Width","Icon Width"
"Fill this field and ""width"" HTML attribute will be added to the image tag. If you want to use CSS leave this field empty.","Fill this field and ""width"" HTML attribute will be added to the image tag. If you want to use CSS leave this field empty."
"Icon Sort Order","Icon Sort Order"
"Order of social icons. Example: 1,2,3,4,5 <br />1=Facebook, 2=Google, 3=Linkedin, 4=Pinterest, 5=Twitter","Order of social icons. Example: 1,2,3,4,5 <br />1=Facebook, 2=Google, 3=Linkedin, 4=Pinterest, 5=Twitter"
"Facebook Icon Settings","Facebook Icon Settings"
"Facebook Icon Enabled","Facebook Icon Enabled"
"Enables or disables Facebook icon.","Enables or disables Facebook icon."
"Facebook Url","Facebook Url"
"Url to Facebook page. Example:<br />https://www.facebook.com/SomePage","Url to Facebook page. Example:<br />https://www.facebook.com/SomePage"
"Icon Alt Text","Icon Alt Text"
"Alternative text for image tag (HTML attribute ""alt"").","Alternative text for image tag (HTML attribute ""alt"")."
"Google Icon Settings","Google Icon Settings"
"Google Icon Enabled","Google Icon Enabled"
"Google Url","Google Url"
"Url to Google page. Example:<br />https://plus.google.com/1111111111111111111?rel=author","Url to Google page. Example:<br />https://plus.google.com/1111111111111111111?rel=author"
"Linkedin Icon Settings","Linkedin Icon Settings"
"Linkedin Icon Enabled","Linkedin Icon Enabled"
"Linkedin Url","Linkedin Url"
"Url to Linkedin page. Example:<br />http://www.example.com/Page","Url to Linkedin page. Example:<br />http://www.example.com/Page"
"Pinterest Icon Settings","Pinterest Icon Settings"
"Pinterest Icon Enabled","Pinterest Icon Enabled"
"Pinterest Url","Pinterest Url"
"Url to Pinterest page. Example:<br />http://www.example.com/Page","Url to Pinterest page. Example:<br />http://www.example.com/Page"
"Twitter Icon Settings","Twitter Icon Settings"
"Twitter Icon Enabled","Twitter Icon Enabled"
"Twitter Url","Twitter Url"
"Url to Twitter page. Example:<br />http://twitter.com/username","Url to Twitter page. Example:<br />http://twitter.com/username"
"Social Icons (Secondary)","Social Icons (Secondary)"
"Enables or disables secondary icons.","Enables or disables secondary icons."
